Epoch,Samples,Correct,Failed,Accuracy
1,36,3,33,0.0833333358168602
2,36,2,34,0.0555555559694767
3,36,5,31,0.1388888955116272
4,36,6,30,0.1666666716337204
5,36,10,26,0.2777777910232544
6,36,14,22,0.3888888955116272
7,36,16,20,0.4444444477558136
8,36,15,21,0.4166666567325592
9,36,17,19,0.4722222089767456
10,36,19,17,0.5277777910232544
11,36,22,14,0.6111111044883728
12,36,22,14,0.6111111044883728
13,36,20,16,0.5555555820465088
14,36,24,12,0.6666666865348816
15,36,23,13,0.6388888955116272
16,36,23,13,0.6388888955116272
17,36,22,14,0.6111111044883728
18,36,23,13,0.6388888955116272
19,36,23,13,0.6388888955116272
20,36,24,12,0.6666666865348816
21,36,24,12,0.6666666865348816
22,36,24,12,0.6666666865348816
23,36,22,14,0.6111111044883728
24,36,24,12,0.6666666865348816
25,36,23,13,0.6388888955116272
26,36,23,13,0.6388888955116272
27,36,22,14,0.6111111044883728
28,36,21,15,0.5833333134651184
29,36,23,13,0.6388888955116272
30,36,22,14,0.6111111044883728
31,36,23,13,0.6388888955116272
32,36,24,12,0.6666666865348816
33,36,24,12,0.6666666865348816
34,36,25,11,0.6944444179534912
35,36,24,12,0.6666666865348816
36,36,24,12,0.6666666865348816
37,36,24,12,0.6666666865348816
38,36,26,10,0.7222222089767456
39,36,24,12,0.6666666865348816
40,36,24,12,0.6666666865348816
