Epoch,Samples,Correct,Failed,Accuracy
1,255,2,253,0.007843137718737125
2,255,10,245,0.03921568766236305
3,255,23,232,0.09019608050584793
4,255,52,203,0.20392157137393951
5,255,84,171,0.3294117748737335
6,255,120,135,0.47058823704719543
7,255,122,133,0.47843137383461
8,255,136,119,0.5333333611488342
9,255,141,114,0.5529412031173706
10,255,167,88,0.6549019813537598
11,255,156,99,0.6117647290229797
12,255,182,73,0.7137255072593689
13,255,167,88,0.6549019813537598
14,255,164,91,0.6431372761726379
15,255,188,67,0.7372549176216125
16,255,172,83,0.6745098233222961
17,255,170,85,0.6666666865348816
18,255,169,86,0.6627451181411743
19,255,182,73,0.7137255072593689
20,255,173,82,0.6784313917160034
21,255,188,67,0.7372549176216125
22,255,178,77,0.6980392336845398
23,255,190,65,0.7450980544090271
24,255,194,61,0.7607843279838562
25,255,181,74,0.7098039388656616
26,255,193,62,0.7568627595901489
27,255,186,69,0.729411780834198
28,255,192,63,0.7529411911964417
29,255,188,67,0.7372549176216125
30,255,178,77,0.6980392336845398
31,255,186,69,0.729411780834198
32,255,188,67,0.7372549176216125
33,255,196,59,0.7686274647712708
34,255,187,68,0.7333333492279053
35,255,186,69,0.729411780834198
36,255,191,64,0.7490196228027344
37,255,194,61,0.7607843279838562
38,255,184,71,0.7215686440467834
39,255,194,61,0.7607843279838562
40,255,189,66,0.7411764860153198
